participant,activity,trial_key,wrist_file,waist_file,fp_file,pairing_method,has_wrist,has_waist,has_force_plate,triad_complete
P1,drop,1,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_D082E5DA-9AA7-469C-8CC2-BE1FE45D1415_ID_1_2025-06-11_15-59-40.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_B75AB763-9AFB-44D2-9F6B-C102385743C6_ID_1_2025-06-11_15-59-39.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0001_f_8.csv,id_token,True,True,True,True
P1,drop,2,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_4D16B3F7-1AC8-47ED-AA81-3FB3C262FFB7_ID_2_2025-06-11_16-00-11.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_718147EF-D433-49A3-88DD-5CF4671F021B_ID_2_2025-06-11_16-00-10.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0002_f_8.csv,id_token,True,True,True,True
P1,drop,3,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_A77FF06A-678C-4AE0-9B26-F1438F4DAAA2_ID_3_2025-06-11_16-00-36.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_880AB4F6-71E5-4ED7-86E5-7F9F1C68E3F5_ID_3_2025-06-11_16-00-35.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0003_f_8.csv,id_token,True,True,True,True
P1,drop,4,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_B66E6E6C-9BE7-4D28-9A3F-F4031434A310_ID_4_2025-06-11_16-01-02.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_661268D1-37E0-4BB1-BF85-807B17DA05DF_ID_4_2025-06-11_16-01-01.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0004_f_8.csv,id_token,True,True,True,True
P1,drop,5,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_A2884AFC-0EEE-4ACD-9F8A-454BE951062D_ID_5_2025-06-11_16-01-26.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_C694624A-CA97-42C8-9604-CD700B3ED281_ID_5_2025-06-11_16-01-25.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0005_f_8.csv,id_token,True,True,True,True
P1,drop,7,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_28864C22-E485-4361-81FB-E600A8106244_ID_7_2025-06-11_16-02-12.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_A8721F43-C946-4F8F-9720-1A820B0AAAF1_ID_7_2025-06-11_16-02-11.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0007_f_8.csv,id_token,True,True,True,True
P1,drop,8,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_1AE5B82A-B109-4339-80CE-5D232B2F79EB_ID_8_2025-06-11_16-02-39.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_AC64EC3B-B538-45A8-AD51-34CF7AB9D814_ID_8_2025-06-11_16-02-39.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0008_f_8.csv,id_token,True,True,True,True
P1,drop,9,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_8D396F02-379C-4183-9E57-5E9914C05A7E_ID_9_2025-06-11_16-03-12.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_31C04E22-875F-432B-864B-9E6D64FDD9BF_ID_9_2025-06-11_16-03-11.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0009_f_8.csv,id_token,True,True,True,True
P1,drop,10,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_C4C467FD-0F02-4D99-BD59-8E2DA03C04EC_ID_10_2025-06-11_16-03-35.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_61789607-0FF0-4BE9-8A9E-370925DD3205_ID_10_2025-06-11_16-03-35.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0010_f_8.csv,id_token,True,True,True,True
P1,drop,11,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Wrist_Trial_20EFA76B-7D3D-4E6A-8998-C45F63B53320_ID_11_2025-06-11_16-03-53.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Drop_Waist_Trial_CCA37E54-FAA0-4759-BA2F-3CE8DE22B72F_ID_11_2025-06-11_16-03-52.csv,/home/805478/Dataset/P1-1990-186.5-95.8/drop0011_f_8.csv,id_token,True,True,True,True
P1,heel,1,/home/805478/Dataset/P1-1990-186.5-95.8/Heel_Wrist_Trial_25E3DF17-912F-4D8B-925F-51DC8D8E9B25_ID_1_2025-06-11_16-05-12.csv,/home/805478/Dataset/P1-1990-186.5-95.8/Heel_Waist_Trial_D6095624-144A-4479-A43B-FEA6983F02A8_ID_1_2025-06-11_16-05-11.csv,/home/805478/Dataset/P1-1990-186.5-95.8/heel0001_f_8.csv,id_token,True,True,True,True
